process_dt,ranking,cpu,manufacturer,gpu,score
2023-03-07,1,A16 Bionic,Apple,Apple GPU,99
2023-03-07,2,Snapdragon 8 Gen 2,Qualcomm,Adreno 740,96
2023-03-07,3,Dimensity 9200,MediaTek,Mali-G715 Immortalis MC11,95
2023-03-07,4,A15 Bionic,Apple,Apple GPU,94
2023-03-07,5,Dimensity 9000 Plus,MediaTek,Mali-G710 MC10,93
2023-03-07,6,Snapdragon 8 Plus Gen 1,Qualcomm,Adreno 730,93
2023-03-07,7,Dimensity 9000,MediaTek,Mali-G710,91
2023-03-07,8,Snapdragon 8 Gen 1,Qualcomm,Adreno 730,90
2023-03-07,9,A14 Bionic,Apple,Apple GPU,86
2023-03-07,10,Exynos 2200,Samsung,Samsung Xclipse 920,85
2023-03-07,11,Snapdragon 888 Plus,Qualcomm,Adreno 660,84
2023-03-07,12,Dimensity 8200,MediaTek,Mali-G610 MC6,83
2023-03-07,13,Dimensity 8100,MediaTek,Mali-G610 MC6,83
2023-03-07,14,Snapdragon 888,Qualcomm,Adreno 660,83
2023-03-07,15,Tensor G2,Google,Mali-G710 MP7,81
2023-03-07,16,Google Tensor,Google,Mali-G78 MP20,79
2023-03-07,17,Exynos 2100,Samsung,Mali-G78 MP14,78
2023-03-07,18,Kirin 9000,HiSilicon,Mali-G78 MP24,78
2023-03-07,19,A13 Bionic,Apple,Apple A13 Bionic GPU,77
2023-03-07,20,Dimensity 7200,MediaTek,Mali-G610 MC4,73
2023-03-07,21,Dimensity 8000,MediaTek,Mali-G610 MC6,72
2023-03-07,22,Snapdragon 870,Qualcomm,Adreno 650,72
2023-03-07,23,Kirin 9000E,HiSilicon,Mali-G78 MP22,72
2023-03-07,24,Exynos 1080,Samsung,Mali-G78 MP10,72
2023-03-07,25,Snapdragon 865 Plus,Qualcomm,Adreno 650,72
2023-03-07,26,Dimensity 1300,MediaTek,Mali-G77 MC9,71
2023-03-07,27,Dimensity 1200,MediaTek,Mali-G77 MC9,71
2023-03-07,28,Dimensity 1100,MediaTek,Mali-G77 MC9,68
2023-03-07,29,Snapdragon 865,Qualcomm,Adreno 650,68
2023-03-07,30,Exynos 990,Samsung,Mali-G77 MP11,66
2023-03-07,31,A12 Bionic,Apple,Apple A12 Bionic GPU,64
2023-03-07,32,Dimensity 1000 Plus,MediaTek,Mali-G77 MC9,63
2023-03-07,33,Snapdragon 860,Qualcomm,Adreno 640,62
2023-03-07,34,Snapdragon 855 Plus,Qualcomm,Adreno 640,62
2023-03-07,35,Snapdragon 7 Gen 1,Qualcomm,Adreno 644,61
2023-03-07,36,Kirin 990 (5G),HiSilicon,Mali G76 MP16,61
2023-03-07,37,Dimensity 930,MediaTek,IMG BXM-8-256,60
2023-03-07,38,Snapdragon 778G Plus,Qualcomm,Adreno 642L,59
2023-03-07,39,Snapdragon 780G,Qualcomm,Adreno 642,59
2023-03-07,40,Snapdragon 855,Qualcomm,Adreno 640,59
2023-03-07,41,Exynos 1380,Samsung,Mali-G68 MP5,58
2023-03-07,42,Snapdragon 778G,Qualcomm,Adreno 642L,58
2023-03-07,43,Kirin 990 (4G),HiSilicon,Mali G76 MP16,57
